id,dataset,order,gender,Games_DFS,Games_SOARS_Involuntariness,Games_SOARS_Effortlessness,Games_ITC_SpatialPresence,Games_ITC_Engagement,Games_ITC_EcologicalValidity,Games_ITC_NegativeEffects,Games_Presence,Games_CharIdentification,Games_TIME,Movies_DFS,Movies_SOARS_Involuntariness,Movies_SOARS_Effortlessness,Movies_ITC_SpatialPresence,Movies_ITC_Engagement,Movies_ITC_EcologicalValidity,Movies_ITC_NegativeEffects,Movies_Presence,Movies_CharIdentification,Movies_TIME
R_AMUpEIDyYtklPHP,N,1,1,4.222222222222222,11,24,1.8421052631578947,3.7692307692307696,2.4000000000000004,1.5,2.6666666666666665,4,4,3.6666666666666665,14,22,1.9473684210526314,3.9230769230769234,2.8000000000000003,1.5,2,3.2,4
R_11Z5WYSFL0Xxye8,N,1,2,3.888888888888889,10,29,3.789473684210526,4.230769230769231,3.8000000000000003,2,5.333333333333333,5,5,3.6666666666666665,13,27,2,3.307692307692308,3.2,2,2,2.4,4
R_1LG2xyddhxpmrCU,N,1,2,3.3333333333333335,5,34,2.894736842105263,3.9230769230769234,1.2000000000000002,1.3333333333333333,5,2.8,4,3.3333333333333335,6,33,1.0526315789473684,3.230769230769231,2.2,1,1,1.2,4
R_3EYFQuYx4nutEwd,N,1,2,3.888888888888889,13,29,1.3684210526315788,2.3846153846153846,1,1.6666666666666665,1,2.6,4,3.7777777777777777,10,32,1.3157894736842104,4,2.8000000000000003,1.8333333333333333,2.6666666666666665,2,3
R_24GXKfIQAoyfGiE,N,2,1,4.777777777777778,17,28,3.263157894736842,3.9230769230769234,3.8000000000000003,1,7,4.4,2,2.6666666666666665,11,35,2.263157894736842,4.384615384615385,2.8000000000000003,1.3333333333333333,3.3333333333333335,3.6,1
R_1eWP0LNdgv5jECA,N,2,2,3.4444444444444446,11,22,2.9473684210526314,4.461538461538462,3.2,1,5,2.6,3,3.4444444444444446,26,22,2.1052631578947367,4.153846153846154,2.8000000000000003,1.6666666666666665,4.666666666666667,3,5
R_OBAGLQuVX64s9up,N,2,1,4.666666666666667,13,32,4.157894736842105,5,3,1.1666666666666665,5.333333333333333,4.2,5,4,10,26,3.052631578947368,4.6923076923076925,3.6,1,5.333333333333333,1.6,4
R_2aKSGpNPnCF99p3,N,1,2,3.888888888888889,9,29,3.31578947368421,3.6923076923076925,3.4000000000000004,1.5,4,1.8,4,4.444444444444445,29,33,2.526315789473684,4.6923076923076925,3,1.1666666666666665,3.6666666666666665,3,4
R_2t9yQ30YMGza3XM,N,2,1,3.888888888888889,13,26,3.263157894736842,4.461538461538462,3,2.5,5.666666666666667,4.6,4,3.2222222222222223,15,22,2.4210526315789473,3.7692307692307696,3.2,2.5,4.666666666666667,3.4,3
R_aWNHug1cvcjr0bv,N,2,1,3.6666666666666665,17,21,3.8421052631578947,3.6923076923076925,3.8000000000000003,2,5,4,5,3.4444444444444446,18,21,3.263157894736842,3.7692307692307696,3,2.6666666666666665,3.3333333333333335,3,4
R_BWDQCGNKpFRzDTr,N,2,1,3.6666666666666665,10,31,3.9473684210526314,4.769230769230769,3.8000000000000003,1.1666666666666665,5.333333333333333,4.4,5,4.111111111111111,12,29,2.2105263157894735,3.7692307692307696,3.2,1,4,4,4
R_3qFfiHBN2P8lDyh,N,2,1,4.555555555555555,11,33,5,4.923076923076923,4.6000000000000005,1.3333333333333333,5.333333333333333,2.4,5,3.111111111111111,20,25,4,4.615384615384616,4.2,1,6,4,4
R_qCs7XPl8o4lYLMl,N,1,2,3.7777777777777777,12,23,2.4736842105263155,4.153846153846154,2.2,2,2.6666666666666665,3.4,5,2.4444444444444446,15,28,2.1052631578947367,3.307692307692308,5,2,3,1.8,4
R_2zf4aqTnSaXaMsQ,N,2,2,4.111111111111111,11,33,3.631578947368421,4.0769230769230775,4.2,1.1666666666666665,5,1.6,5,4.333333333333333,14,33,3.526315789473684,4.307692307692308,4.4,1.1666666666666665,6.333333333333333,2.8,4
R_1HkmAz5Cj7qXbT8,N,2,1,3.6666666666666665,14,28,4,4.230769230769231,3.8000000000000003,2,5.666666666666667,5,3,3.111111111111111,15,27,2.6842105263157894,4.0769230769230775,3.4000000000000004,1.6666666666666665,3.3333333333333335,3.8,3
R_3QLx86GOfThcuI3,N,1,1,4.111111111111111,9,28,2.9473684210526314,3.6923076923076925,2.4000000000000004,2.333333333333333,3,2,5,3.7777777777777777,8,29,2.1578947368421053,3.230769230769231,3.8000000000000003,2.1666666666666665,1,3,3
R_3scPNJ5lB1TIhXy,N,2,2,4.333333333333333,14,29,4,4,4,2.333333333333333,6,5.6,3,3.111111111111111,18,20,3.578947368421052,4.384615384615385,3.6,2,5,4.8,3
R_3Du2QBlFm7bZDWa,N,1,2,4,18,23,4,4,4,2.1666666666666665,6,5.2,5,4.111111111111111,21,26,4,4,4,2,6,4.4,4
R_2DP3HP4egKk7TY7,N,2,1,4.333333333333333,5,26,1.1052631578947367,2.4615384615384617,1,1,1,1,3,3.888888888888889,11,26,1.1052631578947367,2.076923076923077,1.4000000000000001,1,1,1.6,3
R_vjXYGIGVYjudJJL,N,1,1,4.666666666666667,19,26,4.157894736842105,4.153846153846154,3.8000000000000003,1.5,7,5,4,4.555555555555555,8,26,4.684210526315789,4.846153846153847,4.4,1,6.333333333333333,6.4,4
R_2EgSBAVDBJKHNo3,N,2,1,4.111111111111111,25,22,3.894736842105263,3.6153846153846154,3.6,1.8333333333333333,7,4.4,5,4.222222222222222,23,25,3.526315789473684,3.7692307692307696,3.6,1.6666666666666665,4.666666666666667,4.6,5
R_5byHgT0rmuuRdjr,N,1,2,3.888888888888889,17,25,3.1578947368421053,3.7692307692307696,3.4000000000000004,1.3333333333333333,4.666666666666667,2.8,4,3.5555555555555554,18,25,2.263157894736842,3.230769230769231,2.8000000000000003,1,4.333333333333333,1.6,4
R_3MRtmSIKeVZPhk7,N,1,1,3.888888888888889,13,28,4.105263157894736,4.153846153846154,4.2,2.1666666666666665,6,5.6,4,3.3333333333333335,23,23,3.1052631578947367,3.8461538461538463,3.8000000000000003,2,5,2.2,4
R_2QSatFkw227Pqc9,N,2,1,4.111111111111111,18,26,3.578947368421052,3.5384615384615388,3,2.5,5,3.2,4,3.5555555555555554,13,25,3.526315789473684,3.4615384615384617,3.8000000000000003,2.333333333333333,2,1.6,2
R_DG0fEwzLMs3QQ8h,N,2,1,4,24,22,4.368421052631579,4.846153846153847,4,1,7,6.8,5,4.555555555555555,23,21,3.2105263157894735,4.538461538461538,3.4000000000000004,1.8333333333333333,3.6666666666666665,3.8,4
R_1K8YVMrHTiZpBu4,N,1,1,3.7777777777777777,17,27,3.4210526315789473,3.384615384615385,3.2,3,6.333333333333333,4,5,3.7777777777777777,16,20,2.7368421052631575,2.3846153846153846,2.8000000000000003,1.6666666666666665,5,5.4,4
R_1jB2YgRrXfw0hH8,N,1,1,4.777777777777778,9,33,4,4.769230769230769,4,1.3333333333333333,6.666666666666667,4.8,5,3.3333333333333335,15,27,2.9473684210526314,3.7692307692307696,3.8000000000000003,1.5,4.333333333333333,4,4
R_ByWobi0UdMOHN6x,N,2,2,4.111111111111111,10,30,3.7368421052631575,4,3.8000000000000003,2,6.666666666666667,4.4,5,3.7777777777777777,10,30,3.8421052631578947,4.461538461538462,3.8000000000000003,2,6.333333333333333,4.2,5
R_3OiTqqCpvPWEzSl,N,2,1,3.6666666666666665,11,28,4.473684210526316,4.615384615384616,4.6000000000000005,1,6.333333333333333,5.4,4,2.5555555555555554,20,26,3.9473684210526314,4.538461538461538,4.800000000000001,1.3333333333333333,5,2,5
R_3KuvRmtEjRjAmP2,N,1,1,3.888888888888889,10,31,3.1052631578947367,4.0769230769230775,3,1.3333333333333333,2.3333333333333335,4.4,4,4,30,32,1.4736842105263157,4,4,1,2,3.6,4
R_UloS98uQzYt8g9z,N,1,1,4.111111111111111,6,25,2.9473684210526314,4,2.8000000000000003,1.5,3,1.6,5,3.3333333333333335,19,35,1.6842105263157894,3.9230769230769234,3.2,1.6666666666666665,1.6666666666666667,2.8,4
R_3EhY5pwDQYudhee,N,2,1,4.222222222222222,18,27,4.2105263157894735,4,4,1.3333333333333333,5.333333333333333,3.6,4,3.3333333333333335,20,22,3.4210526315789473,4.615384615384616,4.6000000000000005,1.1666666666666665,4.333333333333333,2.4,4
R_3HunFfGFCeSX2XJ,N,1,2,3.3333333333333335,18,29,2.4210526315789473,2.5384615384615388,2.8000000000000003,1.1666666666666665,3.3333333333333335,1,5,3.5555555555555554,23,20,3,2.6153846153846154,3.8000000000000003,1.1666666666666665,5.666666666666667,1.6,3
R_2ZKtHGnQYToFK2D,N,1,2,3.5555555555555554,12,24,1.789473684210526,3.384615384615385,2.6,1.3333333333333333,3.3333333333333335,1.6,4,4.333333333333333,9,33,1.1052631578947367,4.384615384615385,1.8,1,1,3,2
R_22rTVEvWbh5IGCS,N,1,1,4,13,22,3.789473684210526,4,3.6,2.333333333333333,5.666666666666667,5.2,4,3.7777777777777777,15,24,3.2105263157894735,3.5384615384615388,3.2,2.333333333333333,5.333333333333333,3,4
R_3eb0df3EGUZlIhs,N,2,2,4.111111111111111,14,27,4.894736842105263,4.846153846153847,4.4,2.1666666666666665,7,4.4,2,4.444444444444445,15,28,4.315789473684211,4.615384615384616,4.800000000000001,2,6,4.4,2
R_1g8vToCUuIDP2SG,N,2,1,3.5555555555555554,10,24,2.894736842105263,3.6923076923076925,2.8000000000000003,1.1666666666666665,4,3.2,4,3.4444444444444446,10,25,2.263157894736842,3.6153846153846154,3.2,1.3333333333333333,2,3,3
R_2ql0mIjXSl4aEPD,N,2,1,4.333333333333333,6,32,3.8421052631578947,4,2.4000000000000004,1.8333333333333333,5.333333333333333,2.8,5,3.6666666666666665,16,22,2.789473684210526,4.615384615384616,3.8000000000000003,2,4.333333333333333,4,2
R_tFpH7jkqBpi76WR,N,2,1,4.222222222222222,13,32,3.631578947368421,4.230769230769231,3.8000000000000003,1,4,4.6,5,3.6666666666666665,13,24,3.2105263157894735,3.8461538461538463,3.8000000000000003,1.1666666666666665,3.6666666666666665,5,3
R_25LWto7h3nIviAv,N,2,2,3.6666666666666665,17,22,1.631578947368421,2.8461538461538463,1.6,1,2,2.8,4,3.5555555555555554,11,24,2.9473684210526314,3.384615384615385,2.6,1.1666666666666665,3.3333333333333335,3.6,4
R_3LipO6dFUByBVaM,N,1,1,4.444444444444445,6,32,2.263157894736842,3.9230769230769234,2.6,1,1.3333333333333333,2.8,5,4,7,31,1.4736842105263157,3.7692307692307696,4.2,1,2.6666666666666665,4,4
R_3PMjnX5E3w8Aymh,N,1,2,3.7777777777777777,12,26,2.1578947368421053,3.7692307692307696,1.6,1.1666666666666665,1,2,5,2.888888888888889,13,25,1.3157894736842104,3.4615384615384617,3.8000000000000003,1.1666666666666665,1,1,4
R_2Xmq1DIKKhbCog6,N,1,2,4.555555555555555,5,35,4.789473684210526,4.6923076923076925,5,1,7,6.8,5,4.777777777777778,7,34,3.9473684210526314,5,4.800000000000001,1,7,5.2,4
R_2Pn76k0xj1tWwmy,N,1,2,4.222222222222222,12,28,3.578947368421052,4.0769230769230775,3.4000000000000004,2.5,4.333333333333333,4,5,4,16,27,3,3.384615384615385,3.8000000000000003,1.8333333333333333,4,3.4,3
R_3rNuWisLqPViPBU,N,1,1,3.7777777777777777,13,26,3.052631578947368,3.7692307692307696,3.4000000000000004,1.1666666666666665,2.6666666666666665,3.2,5,3.111111111111111,23,27,1.631578947368421,3.8461538461538463,2.8000000000000003,1.3333333333333333,1.3333333333333333,5.2,3
R_AGyYrztHSxssZDX,N,1,1,3.7777777777777777,9,23,3.3684210526315788,4.0769230769230775,3.8000000000000003,1.3333333333333333,4.666666666666667,4.8,5,3.6666666666666665,22,19,2.4210526315789473,4.538461538461538,4.2,1,5.333333333333333,2.6,5
R_2zp8KejqGN3E9ms,N,1,2,4.555555555555555,8,27,4.7368421052631575,4.846153846153847,3.6,1.8333333333333333,6.666666666666667,5.8,5,3.888888888888889,5,29,2.6842105263157894,4.615384615384616,3.8000000000000003,1.3333333333333333,5.333333333333333,5.4,5
R_2AKIKt6zg6TpxDY,N,1,1,4,12,30,3.894736842105263,4.153846153846154,4,1.5,5,4.6,4,3.7777777777777777,12,30,3.1578947368421053,4.384615384615385,4,1.5,4,3.4,4
R_3ni9MzvJXvXbZyt,N,1,2,3.3333333333333335,7,29,3,3.7692307692307696,2.8000000000000003,1,3.3333333333333335,2.8,5,4.333333333333333,15,31,1.8421052631578947,4,3.6,1,6.666666666666667,3.2,4
R_DbIljofv0wSIenn,N,2,1,3,5,35,4.789473684210526,4.6923076923076925,5,1,6,7,5,3,5,35,4.947368421052631,4.6923076923076925,5,1,5,3,5
R_1GBPbfzJrSRdDxA,N,1,2,4,14,29,3.31578947368421,3.8461538461538463,4.2,1,4.666666666666667,4.4,5,4.111111111111111,5,32,2.4210526315789473,4.461538461538462,2.8000000000000003,1,3,2.6,4
R_r7G5nbkwoLKWtQB,N,1,2,4.222222222222222,5,35,4.526315789473684,5,4.2,1.6666666666666665,6.666666666666667,6,5,4.777777777777778,14,33,2.4210526315789473,4.153846153846154,4.2,1,1,1,4
R_1H1YkpfyMKrlB9J,N,2,1,3.7777777777777777,16,24,3.526315789473684,3.9230769230769234,4,2,5.333333333333333,3.8,3,3.5555555555555554,16,24,3.6842105263157894,3.9230769230769234,3.8000000000000003,2.1666666666666665,5.666666666666667,3.2,4
R_1OCBKUDoy5wDS41,N,1,1,4.111111111111111,11,34,2.263157894736842,4.307692307692308,1.8,1,3.6666666666666665,6.2,2,4.333333333333333,11,35,3.789473684210526,4.230769230769231,3,1,1,7,2
R_2Bexm9rysjjUWLL,N,2,2,4.444444444444445,7,35,4.789473684210526,4.923076923076923,4.800000000000001,1.5,7,4.6,5,3.888888888888889,20,26,3.789473684210526,4.230769230769231,4.6000000000000005,1.1666666666666665,4.666666666666667,1.6,2
R_1PcU5haMmicmL7u,N,2,2,3.4444444444444446,16,20,3.1578947368421053,3.153846153846154,3,2.1666666666666665,4,2.4,2,3.7777777777777777,17,21,3.8421052631578947,4,3.4000000000000004,3.6666666666666665,5.666666666666667,3.4,2
R_265wEshJy5TXon2,N,1,1,3.6666666666666665,19,21,2.894736842105263,3.7692307692307696,3,2.1666666666666665,4,4.6,3,3.6666666666666665,21,22,2.7368421052631575,3.384615384615385,2.8000000000000003,2,3.6666666666666665,4.4,4
R_1BXhlWxVIxQAGl1,N,1,1,3,15,19,3.7368421052631575,4,3.4000000000000004,3,2.6666666666666665,4,4,3,16,24,3.9473684210526314,3.6923076923076925,4,3,4,4,4
R_2OJ7Pz7YQnQKi33,N,2,1,4.555555555555555,16,29,3.9473684210526314,4.769230769230769,3.8000000000000003,2.1666666666666665,6,4.6,5,4.444444444444445,14,27,3.789473684210526,4.384615384615385,3.6,1.5,5,4,5
R_1NsMPaYcZqzN1Vf,N,1,1,3.6666666666666665,19,24,3.052631578947368,4,3.2,2.1666666666666665,4.333333333333333,2.8,5,3.6666666666666665,22,26,2.894736842105263,4.0769230769230775,3.6,2,5,1,4
R_86rDE7dDSBz3Ilz,N,2,1,4.333333333333333,12,28,3.7368421052631575,4.615384615384616,3.8000000000000003,1.8333333333333333,5,3.8,5,4.222222222222222,9,30,1.894736842105263,4.6923076923076925,3.2,1,3,4.2,5
R_3oEEQdctX3xtjdM,N,2,1,4.111111111111111,8,22,2.894736842105263,4.769230769230769,2.6,1,4,1.8,5,2.5555555555555554,14,26,2.526315789473684,4.6923076923076925,3.6,1.8333333333333333,4.666666666666667,2.4,2
R_4Zsx3GGTBXrwsg1,N,2,2,3.2222222222222223,15,20,2.526315789473684,4.153846153846154,2.2,2.5,3,3,3,3.5555555555555554,23,32,2.2105263157894735,4.230769230769231,3.2,1.6666666666666665,4,3.6,3
R_sjWj2rKeftO9JrH,N,1,1,4.333333333333333,12,27,2.4210526315789473,3.384615384615385,1.8,1.8333333333333333,4.666666666666667,5,5,3.2222222222222223,11,22,3,3.7692307692307696,3.4000000000000004,2.5,4.333333333333333,2.2,4
R_2wi4VkzeMnHJYGm,N,1,1,3.888888888888889,17,22,3.2105263157894735,3.6153846153846154,3.4000000000000004,2.333333333333333,6.666666666666667,6,5,4.666666666666667,16,22,3.526315789473684,3.6153846153846154,2.6,2.5,7,6,4
R_3hm6oleAIUYKoiy,N,1,1,3.3333333333333335,6,25,2.9473684210526314,3.307692307692308,2.8000000000000003,1.6666666666666665,3.3333333333333335,2.8,4,3.2222222222222223,23,25,2.9473684210526314,3.9230769230769234,3.6,1.1666666666666665,5,3.4,4
R_3GxZG8KmYwjBzdG,N,1,1,3.888888888888889,13,27,4.157894736842105,3.7692307692307696,4.4,2,6,5.8,5,3.4444444444444446,17,22,4.368421052631579,3.5384615384615388,4.2,2,2.6666666666666665,1,5
R_2ZDoLuxhyY6UP0W,N,2,1,3.5555555555555554,16,23,3.6842105263157894,3.6923076923076925,3.8000000000000003,1.6666666666666665,4.666666666666667,2.8,4,2.7777777777777777,19,23,2.8421052631578947,4,3.2,1.5,3.3333333333333335,2.8,4
R_cZ1KXBlZqflxiI9,N,2,1,3.7777777777777777,15,23,3.631578947368421,4.615384615384616,3.2,2.833333333333333,6.333333333333333,5.4,4,3.3333333333333335,16,24,2.894736842105263,4.384615384615385,3.8000000000000003,1.8333333333333333,4.333333333333333,3.8,2
R_xgUmrX45wSLNVyp,N,2,1,4.444444444444445,12,29,3.4736842105263155,3.384615384615385,3.4000000000000004,1.8333333333333333,3.6666666666666665,1,4,3.7777777777777777,14,26,2.1052631578947367,3.8461538461538463,3.4000000000000004,2,1.6666666666666667,1,4
R_3g17ub3GlfzCmgz,N,2,1,4,5,35,1.9473684210526314,4,2,1,2.6666666666666665,2.4,3,3.888888888888889,16,34,1.2105263157894737,3.4615384615384617,1.4000000000000001,1,1.3333333333333333,2.8,3
R_1rvTf8yDTNcPGYq,N,1,2,3.3333333333333335,11,29,4.052631578947368,4.769230769230769,3.8000000000000003,1.8333333333333333,5.333333333333333,3.8,5,3.4444444444444446,27,23,4.2105263157894735,5,4.6000000000000005,1,6.333333333333333,5,5
R_2zSJiGnEEPdaT9l,N,1,2,3.4444444444444446,14,31,3.9473684210526314,4.384615384615385,3.6,1.6666666666666665,3.6666666666666665,3.2,4,3.5555555555555554,12,30,1.1578947368421053,3.4615384615384617,2.2,1.1666666666666665,1,2,2
R_bPDTxISb89Pcubf,N,1,1,3.4444444444444446,5,26,2.052631578947368,4.0769230769230775,1,2.1666666666666665,4.333333333333333,2.2,5,3.6666666666666665,22,33,1.631578947368421,4.307692307692308,4.2,1.1666666666666665,6.333333333333333,3.2,4
R_3IXdSD1Oii9f0D1,N,2,1,4.555555555555555,17,34,4.526315789473684,4.846153846153847,4.2,1.3333333333333333,6,3.2,5,3.6666666666666665,10,30,2.7368421052631575,4.615384615384616,3.4000000000000004,1.6666666666666665,5,3.4,5
